FirstName,LastName,Department,Role,Hire Date,Base Salary,Monthly Sales,Sales Target,Commission Rate,Commission Earned,Customer Rating,Customer Complaints,Employee Satisfaction Score,Manager Name,Sales Performance Status,Customer Handling Rate
Steven,Gomez,Operations,Procurement Specialist,11/16/2019,79148,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Melissa,Martinez,Sales,Account Manager,05/03/2023 ,47866,146585,93889,0,9054,1,9,,Bryan Burnett,High Performance,Need Improvement
Adam,Johnson,IT,Software Engineer,8/19/2021,79172,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Daniel,Hartman,Sales,Sales Executive,3/23/2020,45581,220162,191883,0,5777,2,0,,Bryan Burnett,High Performance,Need Improvement
Anthony,Ruiz,HR,HR Coordinator,4/18/2018,60439,,,,,,,62,Renee Green,Meets Expectation,Satisfactory
Donna,Barker,Customer Support,Customer Service Rep,06/08/2020 ,63647,,,,,5,5,,Christopher Ochoa,Meets Expectation,Need Improvement
Shelia,Flores,HR,Recruiter,07/03/2019 ,78780,,,,,,,86,Renee Green,Meets Expectation,Need Improvement
Lauren,Gross,IT,IT Support,11/30/2019,56267,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Thomas,Kelly,Marketing,SEO Specialist,06/07/2015 ,51202,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Nicole,Mora,Marketing,Marketing Analyst,06/02/2018 ,52876,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Duane,Woods,Sales,Account Manager,4/19/2023,69870,48727,124660,0,1786,2,7,,Bryan Burnett,Need Improvement,Need Improvement
Rebecca,Schmidt,Marketing,Marketing Analyst,07/09/2015 ,83628,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Sharon,Sawyer,Operations,Procurement Specialist,6/17/2020,100866,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Jason,Price,HR,Recruiter,10/04/2020 ,64891,,,,,,,91,Renee Green,Meets Expectation,Need Improvement
Kimberly,Ellis,IT,IT Support,10/30/2020,82086,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Jeffrey,Hoffman,Sales,Account Manager,2/15/2023,81139,192128,170944,0,8080,3,6,,Bryan Burnett,High Performance,Need Improvement
Sarah,Martin,Marketing,SEO Specialist,11/10/2015 ,64614,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Jon,Carr,Sales,Account Manager,10/25/2016,79922,156735,148362,0,9235,3,0,,Bryan Burnett,High Performance,Satisfactory
Anthony,Carpenter,Sales,Account Manager,2/15/2019,60412,61542,79724,0,1528,5,4,,Bryan Burnett,Need Improvement,Need Improvement
Tyler,Harper,Operations,Operations Manager,6/28/2018,78754,,,,,,,,Mr. Bradley Welch,Meets Expectation,Excellent Services
Julia,Trevino,Customer Support,Support Specialist,7/21/2023,43431,,,,,5,0,,Christopher Ochoa,Meets Expectation,Excellent Services
Jennifer,Long,Sales,Account Manager,9/23/2019,67254,229988,182732,0,5974,5,3,,Bryan Burnett,High Performance,Need Improvement
Sarah,Williams,Finance,Financial Analyst,5/28/2019,109539,,,,,,,,David Davis,Meets Expectation,Need Improvement
Stephen,Scott,HR,HR Coordinator,11/20/2019,64897,,,,,,,97,Renee Green,Meets Expectation,Need Improvement
Brian,Thomas,Finance,Auditor,5/13/2015,93679,,,,,,,,David Davis,Meets Expectation,Need Improvement
Joseph,Maldonado,Marketing,Marketing Analyst,6/22/2015,60491,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Erin,Wolfe,Sales,Sales Executive,1/22/2022,45710,66092,121081,0,4178,4,8,,Bryan Burnett,Need Improvement,Need Improvement
Ross,Gould,Sales,Sales Executive,05/10/2017 ,62036,62448,199530,0,2669,3,5,,Bryan Burnett,Need Improvement,Need Improvement
Penny,Williams,Finance,Financial Analyst,2/25/2022,92813,,,,,,,,David Davis,Meets Expectation,Need Improvement
Michele,Downs,Finance,Accountant,11/21/2019,109867,,,,,,,,David Davis,Meets Expectation,Satisfactory
Robert,Sanchez,Customer Support,Customer Service Rep,11/04/2018 ,41971,,,,,4,5,,Christopher Ochoa,Meets Expectation,Need Improvement
Jim,Ruiz,Finance,Auditor,5/17/2020,104460,,,,,,,,David Davis,Meets Expectation,Need Improvement
Erik,Thomas,Marketing,Marketing Analyst,4/16/2018,52830,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Katrina,Hammond,HR,HR Coordinator,07/10/2023 ,63569,,,,,,,84,Renee Green,Meets Expectation,Need Improvement
Elizabeth,Kennedy,Marketing,SEO Specialist,03/08/2021 ,62410,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Anthony,David,Marketing,SEO Specialist,10/26/2015,70295,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Madison,Anderson,HR,HR Manager,07/08/2015 ,82164,,,,,,,95,Renee Green,Meets Expectation,Need Improvement
Kevin,Moore,Marketing,Marketing Analyst,7/29/2017,67400,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Shelby,Martin,Operations,Operations Manager,1/25/2021,83834,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Laura,Martin,Operations,Procurement Specialist,12/16/2019,83046,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Penny,Garcia,Operations,Operations Manager,11/15/2015,78918,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Tammy,Bryan,Marketing,SEO Specialist,10/16/2016,82591,,,,,,,,Trevor Cooper,Meets Expectation,Excellent Services
Jasmine,Horn,Customer Support,Call Center Agent,01/03/2019 ,59610,,,,,5,3,,Christopher Ochoa,Meets Expectation,Satisfactory
Christopher,Jones,Sales,Account Manager,08/12/2019 ,47552,163296,90183,0,8326,4,1,,Bryan Burnett,High Performance,Need Improvement
Amanda,Gallegos,IT,Software Engineer,2/21/2022,103747,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Zoe,Boyle,Marketing,SEO Specialist,06/05/2016 ,56385,,,,,,,,Trevor Cooper,Meets Expectation,Satisfactory
Ryan,Stevens,Sales,Account Manager,09/05/2018 ,75967,237071,110142,0,6322,4,2,,Bryan Burnett,High Performance,Need Improvement
Mary,Guzman,HR,HR Coordinator,7/23/2015,70874,,,,,,,68,Renee Green,Meets Expectation,Need Improvement
Justin,Harvey,Marketing,SEO Specialist,03/10/2016 ,48213,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Anthony,Leonard,Customer Support,Customer Service Rep,08/02/2018 ,47572,,,,,3,8,,Christopher Ochoa,Meets Expectation,Need Improvement
Deborah,Mayer,HR,Recruiter,04/09/2019 ,60777,,,,,,,60,Renee Green,Meets Expectation,Satisfactory
Austin,Johnson,Customer Support,Call Center Agent,2/19/2015,62310,,,,,5,4,,Christopher Ochoa,Meets Expectation,Satisfactory
James,Sherman,Sales,Sales Executive,11/27/2015,53994,69997,135996,0,1505,4,2,,Bryan Burnett,Need Improvement,Need Improvement
Robert,Dickerson,Sales,Sales Manager,8/24/2018,87252,165140,179780,0,3485,2,0,,Bryan Burnett,Meets Expectation,Need Improvement
James,Dennis,HR,HR Manager,01/09/2022 ,77778,,,,,,,89,Renee Green,Meets Expectation,Need Improvement
Randall,Nelson,HR,HR Coordinator,3/22/2019,51378,,,,,,,84,Renee Green,Meets Expectation,Need Improvement
Jimmy,Frank,HR,Recruiter,7/25/2023,62902,,,,,,,94,Renee Green,Meets Expectation,Need Improvement
Earl,Brooks,Finance,Auditor,9/16/2022,60043,,,,,,,,David Davis,Meets Expectation,Need Improvement
Leslie,Nolan,Operations,Procurement Specialist,3/29/2020,83961,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Melissa,Nguyen,HR,HR Coordinator,03/03/2016 ,82177,,,,,,,82,Renee Green,Meets Expectation,Need Improvement
Brian,Ford,HR,Recruiter,2/20/2023,89451,,,,,,,73,Renee Green,Meets Expectation,Need Improvement
Maria,Cox,Finance,Financial Analyst,1/14/2022,95469,,,,,,,,David Davis,Meets Expectation,Need Improvement
Cody,Wang,IT,Data Analyst,8/15/2023,95413,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Thomas,Beck,IT,IT Support,12/05/2022 ,112708,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Emily,Brown,Operations,Procurement Specialist,4/21/2021,102203,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Brian,Henry,Customer Support,Call Center Agent,12/19/2016,43216,,,,,1,4,,Christopher Ochoa,Meets Expectation,Need Improvement
Kimberly,Robinson,Marketing,Marketing Analyst,3/13/2020,79057,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Angela,Rodriguez,IT,Software Engineer,09/09/2017 ,63459,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Christina,Jacobs,HR,Recruiter,3/15/2015,47945,,,,,,,88,Renee Green,Meets Expectation,Need Improvement
Grace,Aguirre,Finance,Auditor,02/06/2015 ,102253,,,,,,,,David Davis,Meets Expectation,Need Improvement
Dustin,Mack,Customer Support,Call Center Agent,6/22/2020,64489,,,,,5,8,,Christopher Ochoa,Meets Expectation,Need Improvement
Gina,Olsen,Operations,Procurement Specialist,8/16/2017,78987,,,,,,,,Mr. Bradley Welch,Meets Expectation,Excellent Services
Ronald,Hancock,Customer Support,Call Center Agent,12/20/2015,54728,,,,,5,3,,Christopher Ochoa,Meets Expectation,Need Improvement
Patricia,Edwards,Marketing,SEO Specialist,11/10/2022 ,62090,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Ronald,Parsons,Marketing,Content Strategist,2/13/2021,49960,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Lisa,Guzman,Sales,Sales Manager,3/25/2017,80456,140671,106410,0,4498,1,0,,Bryan Burnett,High Performance,Need Improvement
Luke,Rangel,IT,Data Analyst,10/11/2018 ,90787,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Charlene,Horton,HR,HR Manager,05/05/2021 ,78093,,,,,,,78,Renee Green,Meets Expectation,Need Improvement
Rebecca,Montoya,Operations,Operations Manager,5/29/2019,101692,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Kara,Fuller,Sales,Sales Executive,12/09/2023 ,50810,43808,108911,0,2844,5,9,,Bryan Burnett,Need Improvement,Need Improvement
Travis,Evans,Customer Support,Support Specialist,1/17/2020,53751,,,,,2,4,,Christopher Ochoa,Meets Expectation,Need Improvement
Kimberly,Shelton,IT,IT Support,10/01/2023 ,70223,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Melissa,Ray,Operations,Logistics Coordinator,07/02/2018 ,87227,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
David,Olson,Marketing,SEO Specialist,01/04/2018 ,51260,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
John,Robinson,Sales,Sales Manager,5/15/2021,89017,146500,182379,0,6993,5,9,,Bryan Burnett,Meets Expectation,Need Improvement
Larry,Watson,Finance,Auditor,1/14/2023,94519,,,,,,,,David Davis,Meets Expectation,Need Improvement
Kelli,Finley,Finance,Financial Analyst,7/23/2015,80070,,,,,,,,David Davis,Meets Expectation,Need Improvement
Calvin,Smith,Operations,Operations Manager,05/03/2023 ,85332,,,,,,,,Mr. Bradley Welch,Meets Expectation,Satisfactory
Chad,Smith,Sales,Account Manager,3/18/2017,88622,108239,177765,0,4454,5,4,,Bryan Burnett,Need Improvement,Need Improvement
Mark,Mckenzie,Operations,Procurement Specialist,7/17/2021,101139,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Seth,Jenkins,Operations,Procurement Specialist,1/18/2023,100497,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Cindy,Frazier,Customer Support,Call Center Agent,5/15/2022,47073,,,,,2,3,,Christopher Ochoa,Meets Expectation,Need Improvement
Misty,Ruiz,Finance,Financial Analyst,06/04/2019 ,57852,,,,,,,,David Davis,Meets Expectation,Need Improvement
Courtney,Rodriguez,IT,Data Analyst,2/28/2020,55793,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Jessica,Leonard,Finance,Auditor,5/24/2023,76166,,,,,,,,David Davis,Meets Expectation,Need Improvement
Brandon,Baker,Finance,Accountant,12/13/2017,89741,,,,,,,,David Davis,Meets Expectation,Need Improvement
Aaron,Stanton,Operations,Operations Manager,12/27/2017,92112,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Deborah,Blake,Customer Support,Support Specialist,12/24/2017,53217,,,,,1,6,,Christopher Ochoa,Meets Expectation,Need Improvement
Sandra,Dixon,Finance,Accountant,9/26/2015,107755,,,,,,,,David Davis,Meets Expectation,Need Improvement
Michael,Reyes,Operations,Operations Manager,2/21/2020,75355,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Kelly,Rangel,Sales,Account Manager,9/22/2016,66094,24892,75807,0,1366,1,6,,Bryan Burnett,Need Improvement,Need Improvement
Crystal,White,Marketing,Content Strategist,9/30/2017,68324,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Austin,Chen,HR,Recruiter,04/02/2021 ,88058,,,,,,,86,Renee Green,Meets Expectation,Need Improvement
Mary,Walker,Finance,Financial Analyst,1/18/2019,72025,,,,,,,,David Davis,Meets Expectation,Need Improvement
Brian,Ramirez,HR,HR Manager,12/06/2017 ,61178,,,,,,,61,Renee Green,Meets Expectation,Need Improvement
Regina,Martinez,Operations,Operations Manager,10/25/2018,55585,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Donald,Reynolds,Marketing,SEO Specialist,6/19/2023,79383,,,,,,,,Trevor Cooper,Meets Expectation,Satisfactory
Lauren,Stevens,Customer Support,Customer Service Rep,3/24/2017,57890,,,,,4,0,,Christopher Ochoa,Meets Expectation,Need Improvement
Kelly,Green,Operations,Logistics Coordinator,4/15/2016,76016,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Jessica,Kemp,HR,HR Coordinator,9/28/2019,90322,,,,,,,89,Renee Green,Meets Expectation,Need Improvement
Andrea,Johnson,HR,Recruiter,08/03/2022 ,47060,,,,,,,71,Renee Green,Meets Expectation,Need Improvement
Jordan,Woodward,Operations,Operations Manager,07/03/2018 ,73906,,,,,,,,Mr. Bradley Welch,Meets Expectation,Satisfactory
Erin,Reid,Customer Support,Customer Service Rep,09/04/2021 ,61500,,,,,4,0,,Christopher Ochoa,Meets Expectation,Need Improvement
Dana,Bernard,IT,IT Support,07/05/2016 ,79705,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Clayton,Briggs,Operations,Operations Manager,5/14/2018,104132,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Christine,Hill,HR,Recruiter,03/08/2017 ,45172,,,,,,,68,Renee Green,Meets Expectation,Need Improvement
Nicole,Greer,Sales,Sales Manager,04/12/2017 ,64747,166231,181192,0,8676,1,0,,Bryan Burnett,Meets Expectation,Need Improvement
Robert,Brown,Customer Support,Call Center Agent,11/26/2018,35720,,,,,3,3,,Christopher Ochoa,Meets Expectation,Need Improvement
Stephanie,Huber,Marketing,SEO Specialist,2/28/2015,72963,,,,,,,,Trevor Cooper,Meets Expectation,Excellent Services
Linda,Snow,Sales,Account Manager,05/03/2017 ,42637,200480,118836,0,4519,5,2,,Bryan Burnett,High Performance,Need Improvement
Donna,Williams,IT,Data Analyst,1/26/2018,78226,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Stephanie,Perry,IT,Software Engineer,6/24/2021,90759,,,,,,,,Daniel Patterson,Meets Expectation,Satisfactory
Michael,Sweeney,Sales,Sales Manager,08/07/2020 ,72031,69334,189641,0,3511,4,1,,Bryan Burnett,Need Improvement,Need Improvement
Christopher,Mason,Sales,Sales Executive,9/18/2015,77278,92074,139010,0,5303,3,6,,Bryan Burnett,Need Improvement,Need Improvement
Brittany,Bennett,IT,Data Analyst,4/18/2022,94086,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Shannon,Shelton,Marketing,Content Strategist,11/14/2017,66009,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Alexis,Riley,IT,Software Engineer,5/15/2016,80577,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Jordan,Weaver,IT,Data Analyst,12/23/2020,81030,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Bradley,Edwards,IT,Data Analyst,9/27/2015,97493,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
James,Duncan,Marketing,Marketing Analyst,02/09/2020 ,84727,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Kristina,Hampton,Finance,Financial Analyst,5/30/2015,82641,,,,,,,,David Davis,Meets Expectation,Need Improvement
Charles,Tate,Customer Support,Customer Service Rep,06/12/2017 ,42840,,,,,1,0,,Christopher Ochoa,Meets Expectation,Need Improvement
Crystal,Elliott,IT,Software Engineer,02/02/2016 ,93891,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Timothy,Cunningham,HR,HR Coordinator,11/24/2021,90139,,,,,,,78,Renee Green,Meets Expectation,Need Improvement
Andrew,Ho,Sales,Sales Manager,4/16/2020,59165,150319,176484,0,6252,2,7,,Bryan Burnett,Meets Expectation,Need Improvement
Catherine,Williams,Marketing,Content Strategist,12/02/2015 ,60080,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Mark,Lara,Sales,Account Manager,2/29/2016,43521,78022,61296,0,2149,2,6,,Bryan Burnett,High Performance,Need Improvement
Michael,Wood,Customer Support,Call Center Agent,02/07/2015 ,62988,,,,,4,9,,Christopher Ochoa,Meets Expectation,Need Improvement
Holly,Rogers,Operations,Logistics Coordinator,4/22/2016,87608,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Timothy,Knight,IT,IT Support,04/07/2019 ,109993,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Jacqueline,Alvarez,Finance,Auditor,5/14/2016,72082,,,,,,,,David Davis,Meets Expectation,Need Improvement
Michael,Davis,IT,IT Support,11/01/2018 ,88228,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Gary,Hansen,Sales,Sales Manager,10/08/2015 ,85545,190061,101002,0,11649,3,8,,Bryan Burnett,High Performance,Need Improvement
Ronald,Bridges,Sales,Sales Manager,6/25/2020,57255,168453,199131,0,9275,3,6,,Bryan Burnett,Meets Expectation,Need Improvement
Donna,Crosby,Sales,Sales Executive,4/25/2016,82030,88963,132721,0,3563,2,1,,Bryan Burnett,Need Improvement,Need Improvement
Michael,Hall,Marketing,Marketing Analyst,7/20/2020,46972,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Pamela,Ramirez,Operations,Operations Manager,12/12/2021 ,85762,,,,,,,,Mr. Bradley Welch,Meets Expectation,Excellent Services
Dawn,Nunez,Sales,Sales Executive,11/10/2022 ,52841,220119,129635,0,6870,5,1,,Bryan Burnett,High Performance,Need Improvement
Valerie,Cook,HR,HR Coordinator,12/28/2023,78733,,,,,,,74,Renee Green,Meets Expectation,Need Improvement
Gabrielle,Davis,IT,IT Support,09/04/2023 ,62573,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Jeremy,Jackson,HR,HR Coordinator,12/01/2021 ,80809,,,,,,,87,Renee Green,Meets Expectation,Need Improvement
Alan,Bullock,Finance,Auditor,10/07/2023 ,76455,,,,,,,,David Davis,Meets Expectation,Need Improvement
Jasmine,Mccormick,HR,HR Coordinator,12/06/2019 ,79938,,,,,,,61,Renee Green,Meets Expectation,Need Improvement
Robert,Woods,IT,Software Engineer,05/01/2022 ,74184,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Tina,Mclaughlin,IT,Data Analyst,12/29/2015,76074,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Daniel,Johnson,Sales,Account Manager,05/07/2023 ,54510,221559,159842,0,12115,3,2,,Bryan Burnett,High Performance,Need Improvement
Michael,Delgado,IT,Data Analyst,4/23/2018,106464,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Christopher,Washington,IT,Data Analyst,10/22/2019,76969,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Kathy,Lee,Finance,Financial Analyst,12/11/2016 ,72976,,,,,,,,David Davis,Meets Expectation,Excellent Services
Mark,Hunt,Sales,Sales Executive,3/14/2015,86400,55951,197062,0,3117,5,1,,Bryan Burnett,Need Improvement,Need Improvement
Steven,Jordan,HR,Recruiter,01/03/2019 ,83866,,,,,,,98,Renee Green,Meets Expectation,Need Improvement
Antonio,Lam,HR,HR Coordinator,04/01/2020 ,93328,,,,,,,84,Renee Green,Meets Expectation,Need Improvement
Clayton,Patton,IT,Software Engineer,11/18/2021,77411,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Matthew,Lynch,Sales,Account Manager,9/24/2022,84095,159296,85900,0,7650,3,0,,Bryan Burnett,High Performance,Need Improvement
Michael,Lee,HR,Recruiter,05/10/2017 ,63377,,,,,,,76,Renee Green,Meets Expectation,Need Improvement
Sharon,Rodriguez,Marketing,Marketing Analyst,12/29/2019,52390,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Gary,West,Sales,Account Manager,3/13/2018,79210,72250,189842,0,4145,2,4,,Bryan Burnett,Need Improvement,Need Improvement
Daniel,Wallace,HR,Recruiter,05/11/2018 ,67023,,,,,,,90,Renee Green,Meets Expectation,Need Improvement
Kelly,Graham,Customer Support,Call Center Agent,4/28/2023,69463,,,,,2,1,,Christopher Ochoa,Meets Expectation,Need Improvement
Nathan,Brown,Marketing,SEO Specialist,09/04/2016 ,82893,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Rose,Holloway,Operations,Procurement Specialist,12/09/2018 ,61886,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Anna,Byrd,Operations,Logistics Coordinator,4/23/2017,59270,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Susan,Rose,Finance,Financial Analyst,09/05/2023 ,58237,,,,,,,,David Davis,Meets Expectation,Need Improvement
Roberta,Thornton,IT,Software Engineer,09/05/2017 ,93612,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Lance,Barr,HR,Recruiter,2/16/2019,90852,,,,,,,98,Renee Green,Meets Expectation,Need Improvement
Jessica,Turner,Sales,Sales Manager,07/08/2022 ,63476,218182,108345,0,7856,3,3,,Bryan Burnett,High Performance,Need Improvement
Crystal,Roberts,Customer Support,Customer Service Rep,2/13/2022,66241,,,,,1,3,,Christopher Ochoa,Meets Expectation,Need Improvement
Laura,Holloway,HR,Recruiter,7/31/2021,49418,,,,,,,64,Renee Green,Meets Expectation,Need Improvement
John,Norman,IT,Software Engineer,5/13/2017,62315,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Olivia,Villanueva,Operations,Logistics Coordinator,06/04/2018 ,52069,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Beth,Lindsey,Finance,Auditor,11/04/2020 ,100176,,,,,,,,David Davis,Meets Expectation,Need Improvement
Joseph,Carlson,Marketing,SEO Specialist,3/27/2022,56996,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Erica,Davis,Customer Support,Customer Service Rep,02/04/2015 ,55341,,,,,1,4,,Christopher Ochoa,Meets Expectation,Satisfactory
Carmen,Young,Sales,Sales Executive,7/26/2022,54273,50210,171999,0,2728,5,4,,Bryan Burnett,Need Improvement,Need Improvement
Diana,Davis,HR,HR Manager,10/09/2017 ,63215,,,,,,,84,Renee Green,Meets Expectation,Need Improvement
Daniel,Martin,IT,IT Support,07/05/2015 ,118254,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
James,Roth,HR,HR Coordinator,3/30/2020,84000,,,,,,,88,Renee Green,Meets Expectation,Satisfactory
Allen,Smith,Customer Support,Customer Service Rep,3/29/2020,57532,,,,,4,2,,Christopher Ochoa,Meets Expectation,Need Improvement
Natalie,Larson,IT,Software Engineer,6/16/2016,70313,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Dr.,Joshua,HR,HR Manager,2/21/2020,46225,,,,,,,70,Renee Green,Meets Expectation,Need Improvement
Jesse,Baker,Finance,Financial Analyst,10/04/2020 ,56323,,,,,,,,David Davis,Meets Expectation,Need Improvement
Bryan,Wade,IT,Software Engineer,10/06/2015 ,108590,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Andrea,Martinez,Finance,Accountant,8/27/2019,72414,,,,,,,,David Davis,Meets Expectation,Need Improvement
Leslie,Myers,Operations,Logistics Coordinator,2/25/2021,98199,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Amanda,Harvey,Finance,Financial Analyst,11/22/2017,109942,,,,,,,,David Davis,Meets Expectation,Need Improvement
Joseph,Wallace,IT,IT Support,11/23/2019,69649,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Jeff,Powell,Marketing,Marketing Analyst,06/02/2023 ,52527,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Alexa,Rojas,Finance,Accountant,6/14/2017,70521,,,,,,,,David Davis,Meets Expectation,Need Improvement
Lacey,Austin,HR,HR Manager,8/30/2018,87437,,,,,,,78,Renee Green,Meets Expectation,Need Improvement
Christine,Rush,Sales,Account Manager,2/26/2018,50335,184887,152946,0,9300,2,8,,Bryan Burnett,High Performance,Need Improvement
Robert,Larson,HR,HR Manager,2/15/2018,89844,,,,,,,99,Renee Green,Meets Expectation,Need Improvement
Richard,Mills,Marketing,Content Strategist,10/13/2017,47812,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Steven,Paul,HR,HR Coordinator,11/28/2023,64303,,,,,,,93,Renee Green,Meets Expectation,Need Improvement
Matthew,Vincent,IT,Data Analyst,03/06/2023 ,96613,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Omar,Matthews,Finance,Accountant,08/06/2022 ,60029,,,,,,,,David Davis,Meets Expectation,Need Improvement
Rebecca,Johnson,Finance,Accountant,05/09/2022 ,90866,,,,,,,,David Davis,Meets Expectation,Need Improvement
Laura,Good,HR,HR Manager,11/18/2021,93008,,,,,,,77,Renee Green,Meets Expectation,Need Improvement
Jeffrey,Arias,Sales,Sales Executive,11/23/2016,63638,143365,131279,0,8819,1,9,,Bryan Burnett,High Performance,Need Improvement
Elizabeth,Phillips,Customer Support,Support Specialist,6/25/2017,57783,,,,,5,8,,Christopher Ochoa,Meets Expectation,Need Improvement
Brett,Schneider,HR,HR Coordinator,09/02/2017 ,93264,,,,,,,80,Renee Green,Meets Expectation,Need Improvement
John,Saunders,Marketing,Marketing Analyst,12/30/2016,78696,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Julie,Glover,Marketing,Content Strategist,2/18/2020,72165,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Robert,Gardner,Operations,Logistics Coordinator,11/30/2015,93996,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Christopher,Norton,Finance,Financial Analyst,2/20/2020,55007,,,,,,,,David Davis,Meets Expectation,Need Improvement
James,Powers,Customer Support,Customer Service Rep,6/13/2016,39424,,,,,2,5,,Christopher Ochoa,Meets Expectation,Need Improvement
David,Smith,Finance,Auditor,08/09/2019 ,85714,,,,,,,,David Davis,Meets Expectation,Need Improvement
Alexandra,Ray,Customer Support,Support Specialist,11/27/2018,69725,,,,,1,7,,Christopher Ochoa,Meets Expectation,Need Improvement
Jeffrey,Gutierrez,IT,Software Engineer,09/06/2020 ,57482,,,,,,,,Daniel Patterson,Meets Expectation,Satisfactory
Kelli,Nguyen,Sales,Sales Manager,9/18/2016,74555,195352,194958,0,8281,4,3,,Bryan Burnett,High Performance,Need Improvement
